,CP,(X),(Y),(Z),Rank,Signature,Pair,Type of CP,Lambda 1,Lambda 2,Lambda 3,Laplacian of electron density
122,123,18.98356543433332,5.19971726099195,16.58081035039189,3,-3,(3;-3),Nuclear,-22.242767,-22.22603053,-19.37974225,-63.84853977
123,124,21.34355145600155,19.42500427572491,2.52669359176353,3,1,(3;+1),Anel,-0.007612905251,0.01019676693,0.05668535711,0.05926921879
124,125,1.48202883086752,-4.23285647073653,5.29817547080062,3,-1,(3;-1),Ligação,-1.476207543,-1.382633248,0.8269567876,-2.031884004
125,126,7.83091947645184,4.0947857375832,6.7077151728775,3,-1,(3;-1),Ligação,-0.8033566208,-0.7962345668,0.4514104081,-1.148180779
126,127,19.36402366863455,9.56012467996712,18.98985806739598,3,-3,(3;-3),Nuclear,-745409.3843,-745408.9382,-745408.8269,-2236227.149
127,128,15.67391441279759,16.74103467341729,9.40406125101893,3,1,(3;+1),Anel,-0.001552810379,0.00717117773,0.01038482394,0.01600319129
128,129,19.81291244253321,10.42453482155009,17.21056478899059,3,-3,(3;-3),Nuclear,-24.60860556,-24.60674014,-23.25108292,-72.46642862
129,130,20.07972732496384,17.20108634208916,3.65614488746112,3,-1,(3;-1),Ligação,-0.5343508654,-0.4952022781,0.3810889696,-0.6484641739
130,131,18.46656208823043,18.38215735395995,7.28023086367881,3,-1,(3;-1),Ligação,-1.107115492,-1.0271397,1.634366826,-0.499888366
131,132,20.99101595974328,8.56619437473026,19.68691254035004,3,-3,(3;-3),Nuclear,-24.45349083,-24.45302427,-23.08694013,-71.99345523
132,133,15.64693191598382,7.28867360643688,23.20394717228233,3,-3,(3;-3),Nuclear,-747022.7078,-747017.4618,-747016.9838,-2241057.153
133,134,21.16696414007661,19.7657799316642,1.99693883232757,3,-1,(3;-1),Ligação,-0.01119667747,-0.00819931685,0.0733963768,0.05400038248
134,135,13.40383041885843,7.02222270364514,23.7840922983176,3,-3,(3;-3),Nuclear,-3222536.838,-3222514.571,-3222480.758,-9667532.167
135,136,2.30924559384109,-3.82858506439255,6.33058250372646,3,-3,(3;-3),Nuclear,-1634980.031,-1634977.147,-1634954.894,-4904912.072
136,137,2.08358680868605,-4.17068988177063,7.65967517953073,3,-1,(3;-1),Ligação,-1.470369361,-1.381320131,0.8256849027,-2.02600459
137,138,2.00747619405138,-4.28759749235233,8.11789621739251,3,-3,(3;-3),Nuclear,-23.4855451,-23.45816939,-21.17942586,-68.12314035
138,139,4.32652800026403,2.58902019585322,8.10029465611911,3,-1,(3;-1),Ligação,-0.4861578668,-0.48033841,0.3541378512,-0.6123584255
139,140,4.57691582839469,-2.25444410856029,5.91673330938052,3,-3,(3;-3),Nuclear,-745273.9905,-745272.0002,-745270.855,-2235816.846
140,141,14.19770267507067,3.06379981832029,-9.76789357311018,3,-1,(3;-1),Ligação,-0.4697245686,-0.424778394,0.3451686276,-0.549334335
141,142,7.1954617812078,2.68935593540054,5.33987532699607,3,-1,(3;-1),Ligação,-0.8047255248,-0.799501341,0.4563386961,-1.14788817
142,143,5.95684210990374,2.36066355461577,9.5483950242669,3,-1,(3;-1),Ligação,-0.8324283593,-0.8155535295,0.4705862649,-1.177395624
