,CP,(X),(Y),(Z),Rank,Signature,Pair,Type of CP,Lambda 1,Lambda 2,Lambda 3,Laplacian of electron density
111,112,20.40424070007881,8.91978354238279,19.43651154073132,3,-1,(3;-1),Ligação,-0.7600448425,-0.7571119981,0.5233516215,-0.9938052191
112,113,15.56782884251345,-0.93018863019842,-7.93839280488853,3,1,(3;+1),Anel,-0.001540602347,0.004505625941,0.008095271526,0.01106029512
113,114,11.55961110647964,17.34687121270349,10.47040504925834,3,-1,(3;-1),Ligação,-0.5263654407,-0.4915596364,0.4251757472,-0.59274933
114,115,17.84153251181248,11.19437574699314,16.06091700505582,3,-1,(3;-1),Ligação,-0.003265805667,-0.0004655080137,0.02414160176,0.02041028808
115,116,17.17194243833481,7.71764026082848,18.64025609902721,3,-3,(3;-3),Nuclear,-322414.2291,-322411.34,-322411.0154,-967236.5846
116,117,19.02216196916971,10.47085148726263,19.83459022977831,3,-1,(3;-1),Ligação,-0.7493310764,-0.7460998492,0.5110486698,-0.9843822557
117,118,15.49365603308584,8.8090647589522,18.38076559350105,3,-3,(3;-3),Nuclear,-9.586685754,-9.578355664,-8.844134009,-28.00917543
118,119,18.83571922835837,10.98676624537589,20.30856401765925,3,-3,(3;-3),Nuclear,-9.371996186,-9.370575002,-8.667989505,-27.41056069
119,120,16.30469666535438,12.66805995747319,9.76273994512933,3,-1,(3;-1),Ligação,-0.7316857273,-0.6418226034,0.3802456022,-0.9932627284
120,121,9.6278923175145,17.12577621857087,11.35081281964083,3,-1,(3;-1),Ligação,-0.5339679819,-0.4866209425,0.3726880453,-0.6479008791
121,122,13.27265128899183,-0.88266514473184,-3.00578933964821,3,-1,(3;-1),Ligação,-0.8096914352,-0.7829822509,0.5528572057,-1.03981648
122,123,17.62736840902409,6.36459717128994,16.35747438186173,3,-3,(3;-3),Nuclear,-1501082.162,-1501058.071,-1501034.655,-4503174.887
123,124,17.22947201569472,11.51206978171086,12.76499918786025,3,-1,(3;-1),Ligação,-0.8117499283,-0.6801297113,0.6585345882,-0.8333450514
124,125,18.96570729525475,5.21587080996573,16.57900200904444,3,-3,(3;-3),Nuclear,-8.390897245,-8.372944894,-6.942155345,-23.70599748
125,126,17.75654740339891,11.43408230090756,11.39939568879796,3,-1,(3;-1),Ligação,-0.9145580615,-0.727125378,0.3730858174,-1.268597622
